model,Prediction,Reference,Freq
knn_ensemble,1,1,23
knn_ensemble,2,1,17
knn_ensemble,3,1,4
knn_ensemble,1,2,8
knn_ensemble,2,2,31
knn_ensemble,3,2,5
knn_ensemble,1,3,3
knn_ensemble,2,3,26
knn_ensemble,3,3,16
pca_blue,1,1,24
pca_blue,2,1,8
pca_blue,3,1,12
pca_blue,1,2,4
pca_blue,2,2,24
pca_blue,3,2,16
pca_blue,1,3,6
pca_blue,2,3,5
pca_blue,3,3,34
cnn_resnet,1,1,41
cnn_resnet,2,1,2
cnn_resnet,3,1,1
cnn_resnet,1,2,3
cnn_resnet,2,2,37
cnn_resnet,3,2,4
cnn_resnet,1,3,4
cnn_resnet,2,3,4
cnn_resnet,3,3,37
