"epoch","set","loss","acc"
1,"train",1.06195056438446,0.41972920696325
1,"valid",0.936188459396362,0.593984962406015
2,"train",0.945689380168915,0.66247582205029
2,"valid",0.922386765480042,0.684210526315789
3,"train",0.856996893882751,0.749516441005803
3,"valid",0.749900877475739,0.729323308270677
4,"train",0.753342926502228,0.758220502901354
4,"valid",0.687801361083984,0.819548872180451
5,"train",0.665617942810059,0.796905222437137
5,"valid",0.617394506931305,0.827067669172932
6,"train",0.612166941165924,0.798839458413926
6,"valid",0.542031109333038,0.827067669172932
7,"train",0.551544487476349,0.811411992263056
7,"valid",0.485718905925751,0.842105263157895
8,"train",0.517144918441772,0.813346228239845
8,"valid",0.499775886535645,0.849624060150376
9,"train",0.500725507736206,0.845261121856867
9,"valid",0.423279881477356,0.827067669172932
10,"train",0.477976977825165,0.830754352030948
10,"valid",0.420814394950867,0.849624060150376
11,"train",0.433280825614929,0.851063829787234
11,"valid",0.420094549655914,0.864661654135338
12,"train",0.437831431627274,0.826885880077369
12,"valid",0.368773877620697,0.827067669172932
13,"train",0.419180363416672,0.851063829787234
13,"valid",0.386375516653061,0.857142857142857
14,"train",0.363170027732849,0.876208897485493
14,"valid",0.363401383161545,0.849624060150376
15,"train",0.379838585853577,0.889748549323017
15,"valid",0.349767506122589,0.842105263157895
16,"train",0.34739688038826,0.874274661508704
16,"valid",0.374707370996475,0.842105263157895
17,"train",0.325096160173416,0.891682785299807
17,"valid",0.326254725456238,0.834586466165414
18,"train",0.315896302461624,0.900386847195358
18,"valid",0.364950954914093,0.827067669172932
19,"train",0.302636921405792,0.89458413926499
19,"valid",0.326876729726791,0.849624060150376
20,"train",0.275396436452866,0.912959381044487
20,"valid",0.330632895231247,0.849624060150376
