lr,loss
1.1481536214968827e-7,1.1064043045043945
1.3182567385564072e-7,1.1039220094680786
1.5135612484362083e-7,1.100096344947815
1.7378008287493757e-7,1.1256078481674194
1.99526231496888e-7,1.1042020320892334
2.2908676527677737e-7,1.110825538635254
2.6302679918953826e-7,1.114831566810608
3.019951720402017e-7,1.1310558319091797
3.4673685045253175e-7,1.1100200414657593
3.981071705534974e-7,1.103521466255188
4.570881896148752e-7,1.1065771579742432
5.248074602497729e-7,1.1045668125152588
6.025595860743581e-7,1.0831555128097534
6.918309709189369e-7,1.0947717428207397
7.943282347242821e-7,1.1013374328613281
9.120108393559105e-7,1.0931679010391235
1.0471285480509004e-6,1.094296932220459
1.202264434617414e-6,1.090835690498352
1.3803842646028861e-6,1.080169916152954
1.5848931924611151e-6,1.1150442361831665
1.8197008586099855e-6,1.099226713180542
2.089296130854042e-6,1.0959484577178955
2.3988329190194935e-6,1.0986396074295044
2.75422870333817e-6,1.095659613609314
3.162277660168384e-6,1.1020774841308594
3.6307805477010187e-6,1.1026358604431152
4.168693834703361e-6,1.1059300899505615
4.786300923226392e-6,1.088499665260315
5.495408738576255e-6,1.1058151721954346
6.309573444801944e-6,1.0991250276565552
7.244359600749914e-6,1.0989335775375366
8.317637711026726e-6,1.1008903980255127
9.549925860214379e-6,1.0988916158676147
1.0964781961431874e-5,1.0745967626571655
1.25892541179417e-5,1.0967317819595337
1.4454397707459309e-5,1.0809615850448608
1.6595869074375646e-5,1.09683358669281
1.9054607179632518e-5,1.0818114280700684
2.187761623949558e-5,1.0668050050735474
2.5118864315095866e-5,1.067531943321228
2.8840315031266134e-5,1.055743932723999
3.31131121482592e-5,1.0518234968185425
3.8018939632056225e-5,1.0504190921783447
4.365158322401672e-5,1.0437647104263306
5.011872336272737e-5,1.0372012853622437
5.754399373371586e-5,1.0416622161865234
6.60693448007598e-5,1.0176032781600952
7.58577575029186e-5,1.0513222217559814
8.709635899560833e-5,1.010207176208496
1.000000000000003e-4,1.036576271057129
1.1481536214968863e-4,1.0118800401687622
1.3182567385564112e-4,0.9667910933494568
1.5135612484362129e-4,0.9857733249664307
1.737800828749381e-4,0.9150388836860657
1.995262314968886e-4,0.9195498824119568
2.2908676527677807e-4,0.9095891714096069
2.630267991895391e-4,0.7818641066551208
3.019951720402027e-4,0.8281920552253723
3.4673685045253294e-4,0.8186727166175842
3.9810717055349876e-4,0.7954117059707642
4.570881896148768e-4,0.67171710729599
5.248074602497747e-4,0.7942589521408081
6.025595860743602e-4,0.6243241429328918
6.918309709189394e-4,0.9894335865974426
7.943282347242849e-4,0.6845242977142334
9.120108393559136e-4,0.6589836478233337
0.0010471285480509042,0.6997530460357666
0.0012022644346174182,0.6410894393920898
0.001380384264602891,0.7702038288116455
0.0015848931924611206,0.6881476640701294
0.0018197008586099917,1.0165517330169678
0.002089296130854049,1.0809344053268433
0.0023988329190195016,1.1984174251556396
0.0027542287033381794,1.2828000783920288
0.0031622776601683946,1.0645560026168823
0.0036307805477010313,0.7307903170585632
0.004168693834703375,1.0448744297027588
0.004786300923226408,0.8202229738235474
0.005495408738576274,0.8224945664405823
0.006309573444801966,0.795933723449707
0.007244359600749939,0.6792248487472534
0.008317637711026754,0.46451130509376526
0.009549925860214411,0.40539664030075073
0.01096478196143191,2.6111884117126465
0.01258925411794174,5.656397342681885
0.014454397707459356,5.5340681076049805
0.0165958690743757,1.8053710460662842
0.01905460717963258,1.1110990047454834
0.02187761623949565,0.9971676468849182
0.025118864315095947,1.864206314086914
0.028840315031266228,3.566336154937744
0.03311311214825931,0.7936280369758606
0.038018939632056346,1.2717853784561157
0.04365158322401686,1.0611859560012817
0.05011872336272753,1.094841480255127
0.05754399373371605,1.0878422260284424
0.06606934480076002,1.0623524188995361
0.07585775750291886,0.9533230662345886
0.08709635899560862,1.5768424272537231
0.10000000000000064,1.2447483539581299
